"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type"
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6,"white"
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5,"white"
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6,"white"
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,"red"
6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,5,"white"
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4,"white"
7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7,"white"
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7,"white"
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,"white"
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4,"white"
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5,"red"
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,"white"
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,"white"
7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5,"white"
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5,"white"
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6,"white"
7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,"white"
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6,"white"
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6,"red"
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,"white"
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,"red"
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,"white"
6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,5,"white"
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,"white"
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,"white"
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,"red"
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4,"white"
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6,"white"
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,"red"
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,"white"
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5,"white"
6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6,"white"
6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6,"white"
6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7,"white"
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,"white"
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,"red"
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,"red"
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7,"white"
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6,"white"
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7,"white"
7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5,"white"
8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5,"white"
7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6,"white"
8.1,0.31,0.36,8.2,0.028,29,142,0.9925,3.01,0.34,13,7,"white"
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7,"white"
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5,"white"
6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,7,"white"
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,"white"
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,"red"
8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6,"white"
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,"red"
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5,"white"
7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333,6,"white"
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,"white"
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6,"white"
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5,"white"
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6,"white"
6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,6,"white"
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7,"red"
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6,"white"
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5,"white"
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,"red"
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,"white"
7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,6,"white"
7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,8,"white"
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,"red"
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7,"white"
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,"red"
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,"red"
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6,"red"
7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,6,"red"
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,"white"
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,"white"
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7,"white"
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,"red"
6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6,"white"
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6,"white"
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,"red"
6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7,"white"
9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4,"white"
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5,"white"
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,"white"
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,"white"
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6,"white"
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,"red"
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,"white"
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6,"white"
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,"red"
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333333,5,"white"
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,"white"
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,"red"
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,"white"
6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7,"white"
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,"red"
6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5,"white"
5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,"white"
6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5,"white"
6.2,0.3,0.42,2.2,0.036,28,128,0.9901,3.13,0.38,11.6,6,"white"
7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5,"white"
6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6,"white"
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,"red"
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,"white"
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,"white"
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,"white"
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6,"white"
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,"white"
6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7,"white"
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.13333333,7,"white"
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6,"white"
7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6,"white"
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6,"white"
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5,"white"
6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,6,"white"
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,"red"
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7,"white"
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,"white"
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,"red"
6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7,"white"
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,"red"
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7,"red"
7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,5,"white"
6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6,"white"
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6,"white"
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5,"white"
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,"red"
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,"white"
7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,6,"white"
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,"white"
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,"red"
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,"white"
6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5,"white"
7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6,"white"
7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7,"white"
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,"red"
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,"white"
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,"white"
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,"white"
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,"white"
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6,"white"
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,"red"
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,"white"
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5,"white"
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5,"white"
6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,"white"
6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7,"white"
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6,"white"
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,"white"
7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7,"white"
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6,"white"
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8,"white"
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6,"red"
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,"red"
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,"white"
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,"white"
6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,6,"white"
6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5,"red"
6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6,"white"
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8,"white"
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,"white"
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6,"white"
6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7,"white"
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,"white"
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,"white"
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,"white"
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7,"white"
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,"red"
6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6,"white"
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6,"white"
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6,"white"
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,"red"
5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7,5,"white"
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,"red"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,"red"
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6,"white"
7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6,"white"
7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6,"white"
6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6,"white"
5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6,"white"
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,"white"
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6,"white"
7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6,"white"
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6,"white"
5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6,"white"
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6,"white"
7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,6,"white"
9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5,"white"
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5,"white"
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6,"white"
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,"white"
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6,"white"
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,"red"
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,"white"
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,"white"
6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6,"white"
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,"red"
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,"white"
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7,"white"
7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,"white"
5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,"white"
7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,6,"white"
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5,"white"
